original_paper_ID,original_paper_bib,abstract,replication_score
O20,"Baayen, R. H., Dijkstra, T., & Schreuder, R. (1997). Singulars and plurals in Dutch: Evidence for a parallel dual-route model. Journal of Memory and Language, 37, 94–117. doi:10.1006/jmla.1997.2509","Are regular morphologically complex words stored in the mental lexicon? Answers to this question have ranged from full listing to parsing for every regular complex word. We investigated the roles of storage and parsing in the visual domain for the productive Dutch plural suffix -en.Two experiments are reported that show that storage occurs for high-frequency noun plurals. A mathematical formalization of a parallel dual-route race model is presented that accounts for the patterns in the observed reaction time data with essentially one free parameter, the speed of the parsing route. Parsing for noun plurals appears to be a time-costly process, which we attribute to the ambiguity of -en,a suffix that is predominantly used as a verbal ending. A third experiment contrasted nouns and verbs. This experiment revealed no effect of surface frequency for verbs, but again a solid effect for nouns. Together, our results suggest that many noun plurals are stored in order to avoid the time-costly resolution of the subcategorization conflict that arises when the -ensuffix is attached to nouns.",yes
O21,"Yang, J., Wang, S., Xu, Y., & Rayner, K. (2009). Do Chinese readers obtain preview benefit from word n + 2? Evidence from eye movements. Journal of Experimental Psychology: Human Perception and Performance, 35, 1192–1204. doi:10.1037/a0013554","The boundary paradigm (K. Rayner, 1975) was used to determine the extent to which Chinese readers obtain information from the right of fixation during reading. As characters are the basic visual unit in written Chinese, they were used as targets in Experiment 1 to examine whether readers obtain preview information from character n + 1 and character n + 2. The results from Experiment 1 suggest they do. In Experiment 2, 2-character target words were used to determine whether readers obtain preview information from word n + 2 as well as word n + 1. Robust preview effects were obtained for word n + 1. There was also evidence from gaze duration (but not first fixation duration), suggesting preview effects for word n + 2. Moreover, there was evidence for parafoveal-on-foveal effects in Chinese reading in both experiments. Implications of these results for models of eye movement control are discussed.",yes
O21,"Yang, J., Rayner, K., Li, N., & Wang, S. (2012). Is preview benefit from word n + 2 a common effect in reading Chinese? Evidence from eye movements. Reading and Writing, 25, 1079–1091. doi:10.1007/s11145-010-9282-7","Although most studies of reading English (and other alphabetic languages) have indicated that readers do not obtain preview benefit from word n + 2, Yang, Wang, Xu, and Rayner (2009) reported evidence that Chinese readers obtain preview benefit from word n + 2. However, this effect may not be common in Chinese because the character prior to the target word in Yang et al.'s experiment was always a very high frequency function word. In the current experiment, we utilized a relatively low frequency word n + 1 to examine whether an n + 2 preview benefit effect would still exist and failed to find any preview benefit from word n + 2. These results are consistent with a recent study which indicated that foveal load modulates the perceptual span during Chinese reading (Yan, Kliegl, Shu, Pan, & Zhou, 2010). Implications of these results for models of eye movement control are discussed.",yes
O22,"Koch, X., & Spalek, K. (2021). Contrastive intonation effects on word recall for information-structural alternatives across the sexes. Memory & Cognition, 49(7), 1312–1333. https://doi.org/10.3758/s13421-021-01174-1","Focus highlights the fact that contextual alternatives are relevant for the interpretation of an utterance. For example, if someone says: “The meeting is on TUESDAY,” with focus marked by a pitch accent on “Tuesday,” the speaker might want to correct the assumption that the meeting is on Monday (an alternative date). Intonation as one way to signal focus was manipulated in a delayed-recall paradigm. Recall of contextual alternatives was tested in a condition where a set of alternatives was evoked by contrastive intonation. A control condition used intonation contours reported for broad focus in German. It was hypothesized that contrastive intonation improves recall, just as focus-sensitive particles (e.g., ‘only’) do, compared to sentences without such particles. Participants listened to short texts introducing a list of three elements from taxonomic categories. One of the three elements was re-mentioned in a subsequent critical sentence, realized with either a broad (H+!H*) or with a contrastive intonation contour (L+H*). Cued recall of the list elements was tested block-wise. Results show that contrastive intonation enhances recall for focus alternatives. In addition, it was found that the observed recall benefit is predominantly driven by females. The results support the assumption that contextual alternatives are better encoded in memory irrespective of whether focus is expressed prosodically or by a focus-sensitive particle. The results further show that females are more sensitive to pragmatic information conveyed through prosody than males.",yes
O23,"Ehri, L. C., & Wilce, L. S. (1982). Recognition of Spellings Printed in Lower and Mixed Case: Evidence for Orthographic Images. Journal of Reading Behavior, 14(3), 219–230. https://doi.org/10.1080/10862968209547451","Three experiments explored whether visual properties of word spellings are retained in memory. Two forms of a multiple-choice spelling recognition test were given to college students and seventh graders, one with the choices printed in lower-case type, the other printed in mixed-case type (e.g., eXaMpLe). Significantly more correct spellings were distinguished in the former case. Results are interpreted to support the view that orthographic images of words are retained in memory. Evidence for the relationship between spelling recognition, spelling production, and reading comprehension capabilities is also considered.",yes
O24,"Smith, C. D. (1981). Recognition memory for sentences as a function of concreteness/abstractness and affirmation/negation. British Journal of Psychology, 72, 125–129. https://doi.org/10.1111/j.2044-8295.1981.tb02172.x","It was found that recognition memory for spoken sentences was superior when sentences were concrete than when they were abstract, provided that the sentences were affirmative. With negative sentences, however, the reverse occurred: performance was worse when the sentences were concrete than when they were abstract. Affirmative abstract sentences and negative abstract sentences were equally well recognized, whereas, for concrete sentences, negation severely impaired recognition memory. The implications of these findings for theories of mental imagery and language processing are discussed.",partial
O25,"Camac, M. K., & Glucksberg, S. (1984). Metaphors do not use associations between concepts, they are used to create them. Journal of Psycholinguistic Research, 13, 443–455. https://doi.org/10.1007/BF01068178","Does the interpretability and aptness of a metaphor depend on prior existing associative relations between the metaphor topic and vehicle? Lexical decision latencies for pairs of words drawn from apt, comprehensible metaphors were no faster than latencies for randomly paired words. In contrast, lexical decision latencies for associatively related word pairs were faster than latencies for randomly paired words. These data suggest that good metaphors do not use preexisting associations to achieve their effects. Instead, we argue tht people use metaphors to create new relations between concepts. Implications for a theory of metaphor comprehension are discussed.",yes
O26,"Janssen, D. P., Roelofs, A., & Levelt, W. J. M. (2002). Inflectional frames in language production. Language and Cognitive Processes, 17, 209–236. https://doi.org/10.1080/01690960143000182","The authors report six implicit priming experiments that examined the production of inflected forms. Participants produced words out of small sets in response to prompts. The words differed in form or shared word-initial segments, which allowed for preparation. In constant inflectional sets, the words had the same number of inflectional suffixes, whereas in variable sets the number of suffixes differed. In the experiments, preparation effects were obtained, which were larger in the constant than in the variable sets. Control experiments showed that this difference in effect was not due to syntactic class or phonological form per se. The results are interpreted in terms of a slot-and-filler model of word production, in which inflectional frames, on the one hand, and stems and affixes, on the other hand, are independently spelled out on the basis of an abstract morpho-syntactic specification of the word, which is followed by morpheme-to-frame association.",yes
O27,"Trueswell, J. C., Tanenhaus, M. K., & Kello, C. (1993). Verb-specific constraints in sentence processing: Separating effects of lexical preference from garden-paths. Journal of Experimental Psychology: Learning, Memory, and Cognition, 19, 528–553. https://doi.org/10.1037/0278-7393.19.3.528","Immediate effects of verb-specific syntactic (subcategorization) information were found in a cross-modal naming experiment, a self-paced reading experiment, and an experiment in which eye movements were monitored. In the reading studies, syntactic misanalysis effects in sentence complements (e.g., ""The student forgot the solution was..."") occurred at the verb in the complement (e.g., was) for matrix verbs typically used with noun phrase complements but not for verbs typically used with sentence complements. In addition, a complementizer effect for sentence-complement-biased verbs was not due to syntactic misanalysis but was correlated with how strongly a particular verb prefers to be followed by the complementizer that. The results support models that make immediate use of lexically specific constraints, especially constraint-based models, but are problematic for lexical filtering models.",no
O28,"Gibbs Jr., R. W., Bogdanovich, J. M., Sykes, J. R., & Barr, D. J. (1997). Metaphor in idiom comprehension. Journal of Memory and Language, 37, 141–154. https://doi.org/10.1006/jmla.1996.2506","Psycholinguistic research has shown that people's tacit knowledge of conceptual metaphors, such as ANGER IS HEATED FLUID IN A CONTAINER, partly motivates how they make sense of idiomatic phrases likeblow your stackandflip your lid.But do people quickly access conceptual metaphors each time an idiom is encountered in discourse? The present studies used a priming method to examine the role of conceptual metaphors in immediate idiom comprehension. Experiment 1 showed that people access conceptual metaphors when understanding idioms, but significantly less so when processing literal paraphrases of idioms. Experiment 2 demonstrated that people access the appropriate conceptual metaphors, such as ANGER IS HEAT, when processing some idioms, such asblow your stack,but not when they read idioms, such asjump down your throat,which have similar figurative meanings that are motivated by different conceptual metaphors (e.g., ANGER IS ANIMAL BEHAVIOR). The findings from these studies provide important evidence on the constraining role that common patterns of metaphoric thought have in figurative language understanding.",no
O29,"Piñango, M. M., Zurif, E., & Jackendoff, R. (1999). Real-Time Processing Implications of Enriched Composition at the Syntax–Semantics Interface. Journal of Psycholinguistic Research, 28(4), 395–414. https://doi.org/10.1023/A:1023241115818","This study reports results on the real-time consequences of aspectual coercion. We define aspectual coercion as a combinatorial semantic operation requiring computation over and above that provided by combining lexical items through expected syntactic processes. An experiment is described assessing whether or not parsing of a string requiring coercion—in addition to syntactic composition—is more computationally costly than parsing a syntactically transparent counterpart, a string that provides for an interpretable representation via syntactic composition alone. The prediction of a higher computational cost for this process is borne out by the results.",yes
O30,"Taft, M. (1990). Lexical processing of functionally constrained words. Journal of Memory and Language, 29, 245–257. https://doi.org/10.1016/0749-596X(90)90075-B","A series of experiments examines lexical decision and naming times to single words which, when used in a sentence, are functionally constrained. Closed class words which cannot meaningfully stand alone (e.g., THAN, ELSE) took longer to respond to than open class words in a lexical decision task but not a naming task (with naming onset times adjusted for voice onset variations); whereas closed class words which can stand alone (e.g., NOW, THOSE) did not differ from open class words. It was further shown that open class words which cannot stand alone (e.g., RELY, DISPOSE) were associated with longer lexical decision times than those which can (e.g., RAIL, PERSIST), but not with longer naming times. Thus the effect of functional constraint was not restricted to closed class words and seemed to occur at a post-access decision stage of processing rather than influencing lexical access itself. Finally, it was demonstrated that not all functional constraints delay lexical decision times, since obligatorily transitive verbs (e.g., BORROW, UNDERGO) did not differ from unconstrained words. An explanation is given terms of how meaningfulness might have an influence on lexical decision responses.",yes
O31,"Tiemann, S., Schmid, M., Bade, N., Rolke, B., Hertrich, I., Ackermann, H., Knapp, J., & Beck, S. (2011). Psycholinguistic Evidence for Presuppositions: On-­‐line and Off-­‐line Data. Proceedings of Sinn & Bedeutung.","This paper presents three self-paced reading studies on the processing of presuppositions. In these studies, we investigated the predictions a classical theory of presuppositions would make for the cognitive processing of presuppositions. This concerns mainly the triggering of presuppositions, their verification in a given context and their accommodation in cases where they are not supported by the context. Our studies revealed not only that presuppositions are evaluated on-line, but also that the classical theory of presuppositions makes solid predictions about their processing.",partial
O32,"Stroustrup, S., & Wallentin, M. (2018). Grammatical category influences lateralized imagery for sentences. Language and Cognition: An Interdisciplinary Journal of Language and Cognitive Science, 10, 193–207. https://doi.org/10.1017/langcog.2017.19","Natural language syntax has previously been thought to reflect abstract processing rules independent of meaning construction. However, grammatical categories may serve a functional role by allocating attention towards recurrent topics in discourse. Here, we show that listeners incorporate grammatical category into imagery when producing stick figure drawings from heard sentences, supporting the latter view. Participants listened to sentences with transitive verbs that independently varied whether a male or a female character (1) was mentioned first, (2) was the agent or recipient of an action, and (3) was the grammatical subject or object of the sentence. Replicating previous findings, we show that the first named character as well as the agent of the sentence tends to be drawn to the left in the image, probably reflecting left-to-right reading direction. But we also find that the grammatical subject of the sentence has a propensity to be drawn to the left of the object. We interpret this to suggest that grammatical category carries discursive meaning as an attention allocator. Our findings also highlight how language influences processes hitherto thought to be non-linguistic.",yes
O33,"Marslen-Wilson, W., Tyler, L., Warren, P., Grenier, P., & Lee, C. (1992). Prosodic Effects in Minimal Attachment. Quarterly Journal of Experimental Psychology Section A-Human Experimental Psychology - QUART J EXP PSYCH A-HUM EXP P, 45, 73–87. https://doi.org/10.1080/14640749208401316","Explored the role of prosody by examining the online (OL) effects of prosodic cues on the assignment of structural relations. The strategy of minimal attachment (MA), in which each incoming word is attached to the developing phrase structure, was used. Results from 40 Ss demonstrate that prosodic information could be used OL to resolve potential ambiguities in the structural interpretation of the utterance. The same string of words would be assigned a non-MA when it was read with a non-MA contour and an MA interpretation when read as an MA sentence. The contrast between the OL and the off-line measures underlies the importance of using both types of task to investigate the processes of language comprehension.",yes
